year,month,timestamp_utc,coin,entry,sl,tp
2025,6,2025-06-21T11:59:41+00:00,NEWT,0.281,0.1974,0.5674
2025,6,2025-06-22T17:01:25+00:00,BTC,,92.4693,200.975
2025,6,2025-06-23T00:26:37+00:00,MYX,,0.04594,0.46895
2025,6,2025-06-23T01:43:50+00:00,BANANAS31,0.007821,0.006052,
2025,6,2025-06-23T04:32:06+00:00,BID,0.11603,0.06867,
2025,6,2025-06-23T07:06:02+00:00,BID,0.11603,0.06867,
2025,6,2025-06-23T08:17:21+00:00,OBOL,0.14804,0.09943,
2025,6,2025-06-24T12:03:38+00:00,BDXN,,0.02673,
2025,6,2025-06-25T01:32:08+00:00,TUT,0.05454,0.03482,0.16682
2025,6,2025-06-26T11:09:26+00:00,MYX,0.10988,1.0635,
2025,6,2025-06-26T14:15:17+00:00,MYX,0.10393,0.06355,
2025,6,2025-06-30T06:14:56+00:00,PENGU,0.015,0.008871,0.105876
2025,7,2025-07-02T00:40:12+00:00,RESOLV,0.16719,0.13352,0.40931
2025,7,2025-07-05T09:35:09+00:00,1000000BOB,0.06637,0.04183,0.20093
2025,7,2025-07-05T12:33:14+00:00,H,0.09642,0.05037,0.29058
2025,7,2025-07-09T01:27:20+00:00,IDOL,0.01527,0.01065,
2025,7,2025-07-09T01:33:00+00:00,VIC,0.3254,,1.0338
2025,7,2025-07-10T20:56:54+00:00,PUMPBTC,0.04453,0.03161,
2025,7,2025-07-11T03:05:31+00:00,CROSS,0.14166,0.0975,
2025,7,2025-07-11T03:17:37+00:00,IDOL,0.01597,0.01065,
2025,7,2025-07-12T06:56:36+00:00,ARK,0.4553,0.2653,
2025,7,2025-07-12T07:00:16+00:00,ARK,0.4553,0.2653,
2025,7,2025-07-12T07:14:37+00:00,HEI,0.3366,0.2259,1.2766
2025,7,2025-07-13T14:27:05+00:00,PIXEL,0.04109,0.02676,0.09637
2025,7,2025-07-13T14:39:19+00:00,BULLA,0.085,0.0547,
2025,7,2025-07-13T18:07:01+00:00,BTC,,107.061,222.222
2025,7,2025-07-13T18:28:39+00:00,PEPE,0.012544,0.0082678,0.2015527
2025,7,2025-07-14T10:40:10+00:00,XRP,2.9854,2.1889,10.0007
2025,7,2025-07-17T03:14:14+00:00,KERNEL,0.16,0.1175,
2025,7,2025-07-17T03:47:22+00:00,IDOL,0.01742,0.01036,
2025,7,2025-07-19T02:05:54+00:00,VELVET,0.0809,0.05269,0.50551
2025,7,2025-07-22T14:57:07+00:00,BTC,118.724,110.57,144.0
2025,7,2025-07-22T22:45:12+00:00,BTC,118.724,110.57,144.0
2025,7,2025-07-23T04:31:03+00:00,ETH,3.731,3825.63,5.008
2025,7,2025-07-23T04:35:46+00:00,ETH,3.731,3.325,4.079
2025,7,2025-07-23T09:02:23+00:00,ETH,3.731,3.325,4.079
2025,7,2025-07-23T12:13:29+00:00,MYX,,0.04235,1.01347
2025,7,2025-07-23T19:19:17+00:00,BTC,118.463,110.412,
2025,7,2025-07-23T19:19:58+00:00,ETH,3.613,3.249,
2025,7,2025-07-24T04:18:06+00:00,SOPH,0.045371,0.033324,
2025,7,2025-07-24T08:48:11+00:00,BTC,118.463,110.412,
2025,7,2025-07-24T11:27:04+00:00,BTC,118.463,110.412,
2025,7,2025-07-24T13:09:15+00:00,ETH,3.64,3.31,4.446
2025,7,2025-07-24T13:23:01+00:00,ETH,3.64,3.31,4.446
2025,7,2025-07-25T08:06:29+00:00,ETH,3.64,3.31,
2025,7,2025-07-25T20:06:42+00:00,BDXN,0.03383,0.0671,
2025,7,2025-07-26T09:54:08+00:00,AIOT,0.406,0.27273,
2025,7,2025-07-26T10:06:43+00:00,TAG,0.0006783,0.0004699,
2025,7,2025-07-27T10:28:51+00:00,REZ,0.01464,0.01004,0.20588
2025,7,2025-07-28T13:42:42+00:00,HYPER,0.5194,0.3316,1.5609
2025,7,2025-07-29T14:25:53+00:00,DOGE,0.22605,0.18573,
2025,7,2025-07-29T14:27:29+00:00,SOL,,152.67,
2025,7,2025-07-29T14:28:24+00:00,SUI,3.7968,2.7948,
2025,7,2025-07-29T14:45:22+00:00,HYPE,43.423,30.362,
2025,7,2025-07-29T16:58:00+00:00,ETH,3.749,3.504,5.012
2025,7,2025-07-29T17:03:16+00:00,HYPE,43.423,30.362,100.126
2025,7,2025-07-31T17:08:50+00:00,ETH,3.784,2.943,12.455
2025,7,2025-07-31T20:19:49+00:00,BTC,,106.807,150.729
2025,8,2025-08-01T09:39:20+00:00,TREE,0.5216,0.3571,1.3223
2025,8,2025-08-01T21:54:33+00:00,ENA,0.5795,0.372,12.5082
2025,8,2025-08-01T23:25:20+00:00,ENA,0.5795,0.372,12.5082
2025,8,2025-08-02T04:27:55+00:00,BTC,113.808,107.433,133.333
2025,8,2025-08-02T04:35:29+00:00,PENGU,1.035122,0.026992,0.070282
2025,8,2025-08-03T04:24:32+00:00,BTC,,105.399,772.722
2025,8,2025-08-03T04:28:21+00:00,ETH,428.05,2.891,12.156
2025,8,2025-08-03T05:12:06+00:00,A2Z,0.005049,0.003496,0.021175
2025,8,2025-08-03T06:55:19+00:00,A2Z,0.005049,0.003496,0.021175
2025,8,2025-08-03T08:00:11+00:00,ENA,,,2.5082
2025,8,2025-08-04T00:46:34+00:00,BDXN,0.04089,0.02527,
2025,8,2025-08-04T00:53:08+00:00,HEI,0.4584,0.3255,
2025,8,2025-08-04T09:55:08+00:00,KERNEL,0.2116,0.1308,
2025,8,2025-08-04T12:12:07+00:00,FUN,0.010482,0.005687,
2025,8,2025-08-05T09:44:54+00:00,LTC,126.21,98.55,
2025,8,2025-08-05T15:46:08+00:00,SKATE,0.05095,0.03098,1.02914
2025,8,2025-08-05T16:20:08+00:00,BDXN,0.03879,0.02527,1.2912
2025,8,2025-08-05T17:26:55+00:00,TANSSI,0.06082,0.0404,0.69283
2025,8,2025-08-06T18:21:25+00:00,PUMP,0.003354,0.002187,
2025,8,2025-08-07T05:13:21+00:00,ICNT,0.281,0.1716,
2025,8,2025-08-07T06:26:17+00:00,VELVET,0.1041,0.0612,
2025,8,2025-08-07T11:53:47+00:00,PENGU,0.037053,0.026992,
2025,8,2025-08-08T18:31:25+00:00,AIOT,0.47454,0.28197,
2025,8,2025-08-09T19:17:29+00:00,TAC,0.01291,0.00861,0.02635
2025,8,2025-08-11T16:46:14+00:00,FORTH,2.873,,
2025,8,2025-08-12T17:28:23+00:00,PEPE,,0.007401,0.2127995
2025,8,2025-08-16T19:26:39+00:00,EPIC,2.501,,10.629
2025,8,2025-08-16T19:28:30+00:00,IN,0.09157,0.06204,0.36809
2025,8,2025-08-16T22:05:14+00:00,ETH,,3815.61,15.08
2025,8,2025-08-17T16:45:09+00:00,PUMPBTC,,,1.20157
2025,8,2025-08-20T08:04:09+00:00,KERNEL,0.2417,0.1308,0.8504
2025,8,2025-08-20T08:50:03+00:00,MEME,0.002292,0.001276,0.009497
2025,8,2025-08-21T12:42:33+00:00,BAND,0.832,0.5797,5.0209
2025,8,2025-08-21T13:13:19+00:00,UMA,1.442,0.836,3.633
2025,8,2025-08-21T13:17:05+00:00,RED,0.3846,0.2301,
2025,8,2025-08-21T17:15:12+00:00,ETH,,3.763,5.201
2025,8,2025-08-21T17:43:12+00:00,CUDIS,0.09253,0.06362,
2025,8,2025-08-21T20:45:33+00:00,ETH,,3.763,5.201
2025,8,2025-08-22T12:46:03+00:00,ETH,,3.763,5.201
2025,8,2025-08-23T15:22:59+00:00,DOGS,0.0001513,0.000979,0.0004671
2025,8,2025-08-23T16:15:26+00:00,FORTH,2.954,1.933,
2025,8,2025-08-24T13:31:50+00:00,BID,0.09289,0.0536,0.55836
2025,8,2025-08-25T08:21:32+00:00,XPL,0.5454,0.3795,
2025,8,2025-08-25T09:34:42+00:00,ONG,0.21295,0.15181,0.55402
2025,8,2025-08-27T08:22:28+00:00,DAM,0.05117,0.03825,0.12565
2025,8,2025-08-27T08:50:57+00:00,IDOL,0.0145,0.01004,0.16182
2025,8,2025-08-28T16:15:14+00:00,ETH,4.517,4.304,5.202
2025,8,2025-08-28T18:19:01+00:00,ETH,4.468,4.199,5.164
2025,8,2025-08-28T20:03:46+00:00,ETH,4.446,4.199,5.164
